date,Japan,China,United States of America,South Korea,United Kingdom,Germany,France
2015/7/30,24039.36,,,,,,
2015/7/31,162032.14,,,,,,
2015/8/1,366227.4,,,,,,
2015/8/2,390777.63,,,,,,
2015/8/3,351605.17,,,,,,
2015/8/4,261147.66,,,,,,
2015/8/5,343753.85,,,,,,
2015/8/6,288071.36,,,,,,
2015/8/7,178086.35,,,,,,
2015/8/8,201464.42,,,,,,
2015/8/9,210587.22,,,,,,
2015/8/10,173165.6,,,,,,
2015/8/11,144312.45,,,,,,
2015/8/12,376958.28,,,,,,
2015/8/13,469004.93,,,,,,
2015/8/14,475603.79,,,,,,
2015/8/15,479972.07,,,,,,
2015/8/16,481868.67,,,,,,
2015/8/17,406626.66,,,,,,
2015/8/18,359249.99,,,,,,
2015/8/19,366161.46,,,,,,
2015/8/20,353247.3,,,,,,
2015/8/21,337675.93,,,,,,
2015/8/22,393509.2,,,,,,
2015/8/23,413058.1,,,,,,
2015/8/24,384832.74,,,,,,
2015/8/25,356645.67,,,,,,
2015/8/26,365006.4,,,,,,
2015/8/27,326749.11,,,,,,
2015/8/28,240327.59,,,,,,
2015/8/29,232106.58,,,,,,
2015/8/30,392843.18,,,,,,
2015/8/31,560662.79,,,,,,
2015/9/1,751473.14,,,,,,
2015/9/2,539647.83,,,,,,
2015/9/3,546772.68,,,,,,
2015/9/4,731061.81,,,,,,
2015/9/5,714056.85,,,,,,
2015/9/6,618876.86,,,,,,
2015/9/7,538561.42,,,,,,
2015/9/8,543513.48,,,,,,
2015/9/9,572724.57,,,,,,
2015/9/10,463665.66,,,,,,
2015/9/11,372662.77,,,,,,
2015/9/12,384498.32,,,,,,
2015/9/13,357886.47,,,,,,
2015/9/14,320877.23,,,,,,
2015/9/15,236484.79,,,,,,
2015/9/16,296569.34,,,,,,
2015/9/17,326270.86,,,,,,
2015/9/18,251561.03,,,,,,
2015/9/19,219703.08,,,,,,
2015/9/20,209819.19,,,,,,
2015/9/21,214070.79,,,,,,
2015/9/22,214627.08,,,,,,
2015/9/23,189054.88,,,,,,
2015/9/24,175540.13,,,,,,
2015/9/25,514279.2,,,,,,
2015/9/26,941690.14,,,,,,
2015/9/27,571977.78,,,,,,
2015/9/28,399193.15,,,,,,
2015/9/29,388158.09,,,,,,
2015/9/30,434492.09,,,,,,
2015/10/1,580786.78,,,,,,
2015/10/2,484027.29,,,,,,
2015/10/3,500960.78,,,,,,
2015/10/4,402374.64,,,,,,
2015/10/5,326087.23,,,,,,
2015/10/6,250744.21,,,,,,
2015/10/7,215513.28,,,,,,
2015/10/8,183230.74,,,,,,
2015/10/9,181850.14,,,,,,
