date,South Korea,Japan,China,United States of America,United Kingdom,Germany,France,Russia
2016/7/6,,,1131.66,,,,,
2016/7/7,,,7163.27,,,,,
2016/7/8,,,6467.52,,,,,
2016/7/9,,,7040.02,,,,,
2016/7/10,,,6890.73,,,,,
2016/7/11,,,7222.47,,,,,
2016/7/12,,,9693.13,,,,,
2016/7/13,,,8661.79,,,,,
2016/7/14,,,7090.45,,,,,
2016/7/15,,,7757.42,,,,,
2016/7/16,,,9053.9,,,,,
2016/7/17,,,10608.48,,,,,
2016/7/18,,,9779.72,,,,,
2016/7/19,,,10215.4,,,,,
2016/7/20,,,11808.06,,,,,
2016/7/21,,,28214.13,,,,,
2016/7/22,,,29347.72,,,,,
2016/7/23,,,21240.82,,,,,
2016/7/24,,,15471.41,,,,,
2016/7/25,,,11459.32,,,,,
2016/7/26,,,9811.72,,,,,
2016/7/27,,,9017.9,,,,,
2016/7/28,,,7904.73,,,,,
2016/7/29,,,7622.23,,,,,
2016/7/30,,,6167.4,,,,,
2016/7/31,,,5267.74,,,,,
2016/8/1,,,6229.25,,,,,
2016/8/2,,,7671.29,,,,,
2016/8/3,,,5445.82,,,,,
2016/8/4,,,7381.3,,,,,
2016/8/5,,,7018.94,,,,,
2016/8/6,,,6503.04,,,,,
2016/8/7,,,7285.68,,,,,
2016/8/8,,,6810.15,,,,,
2016/8/9,,,5996.79,,,,,
2016/8/10,,,4218.12,,,,,
2016/8/11,,,19264.71,,,,,
2016/8/12,,,16752.01,,,,,
2016/8/13,,,12164.86,,,,,
2016/8/14,,,9586.86,,,,,
2016/8/15,,,9492.55,,,,,
2016/8/16,,,10655.2,,,,,
2016/8/17,,,9788.65,,,,,
2016/8/18,,,9506.54,,,,,
2016/8/19,,,8209.79,,,,,
2016/8/20,,,6796.66,,,,,
2016/8/21,,,5687.01,,,,,
2016/8/22,,,4909.69,,,,,
2016/8/23,,,4741.74,,,,,
2016/8/24,,,4247.5,,,,,
2016/8/25,,,5149.24,,,,,
2016/8/26,,,5324.4,,,,,
2016/8/27,,,5168.5,,,,,
2016/8/28,,,5778.15,,,,,
2016/8/29,,,5935.27,,,,,
2016/8/30,,,6606.37,,,,,
2016/8/31,,,6732.56,,,,,
2016/9/1,,,6552.3,,,,,
2016/9/2,,,5144.34,,,,,
2016/9/3,,,5442.03,,,,,
2016/9/4,,,3876.6,,,,,
2016/9/5,,,3776.91,,,,,
2016/9/6,,,4619.25,,,,,
2016/9/7,,,3913.07,,,,,
2016/9/8,,,3532.96,,,,,
2016/9/9,,,3033.09,,,,,
2016/9/10,,,3386.68,,,,,
2016/9/11,,,2922.87,,,,,
2016/9/12,,,2234.04,,,,,
2016/9/13,,,1943.13,,,,,
2016/9/14,,,3473.75,,,,,
2016/9/15,,,5731.82,,,,,
2016/9/16,,,18943.36,,,,,
2016/9/17,,,16233.57,,,,,
2016/9/18,,,7989.36,,,,,
2016/9/19,,,4076.25,,,,,
2016/9/20,,,2570.37,,,,,
2016/9/21,,,2088.76,,,,,
2016/9/22,,,2333.61,,,,,
2016/9/23,,,7943.9,,,,,
2016/9/24,,,7045.66,,,,,
2016/9/25,,,5064.77,,,,,
2016/9/26,,,4902.76,,,,,
2016/9/27,,,3528.67,,,,,
2016/9/28,,,2644.71,,,,,
2016/9/29,,,3516.6,,,,,
2016/9/30,,,4301.09,,,,,
2016/10/1,,,7111.24,,,,,
2016/10/2,,,5583.08,,,,,
2016/10/3,,,4045.89,,,,,
2016/10/4,,,3617.6,,,,,
2016/10/5,,,2727.05,,,,,
2016/10/6,,,2710.27,,,,,
2016/10/7,,,2836.22,,,,,
2016/10/8,,,1702.88,,,,,
2016/10/9,,,1379.89,,,,,
2016/10/10,,,1538.36,,,,,
2016/10/11,,,1328.57,,,,,
2016/10/12,,,1767.92,,,,,
2016/10/13,,,1817.38,,,,,
2016/10/14,,,1810.81,,,,,
2016/10/15,,,1715.52,,,,,
2016/10/16,,,1486.79,,,,,
2016/10/17,,,1367.2,,,,,
2016/10/18,,,1595.46,,,,,
2016/10/19,,,1233.26,,,,,
2016/10/20,,,2981.9,,,,,
2016/10/21,,,2940.47,,,,,
2016/10/22,,,5384.16,,,,,
2016/10/23,,,3935.4,,,,,
2016/10/24,,,2797.04,,,,,
2016/10/25,,,1790.72,,,,,
2016/10/26,,,1099.28,,,,,
2016/10/27,,,1268.63,,,,,
2016/10/28,,,18136.49,,,,,
2016/10/29,,,13082.62,,,,,
2016/10/30,,,11411.73,,,,,
2016/10/31,,,8545.28,,,,,
2016/11/1,,,8351.24,,,,,
2016/11/2,,,8960.21,,,,,
2016/11/3,,,7869.6,,,,,
2016/11/4,,,3144.8,,,,,
2016/11/5,,,3595.91,,,,,
2016/11/6,,,3366.02,,,,,
2016/11/7,,,3215.61,,,,,
2016/11/8,,,3059.3,,,,,
2016/11/9,,,3498.02,,,,,
2016/11/10,,,6745.92,,,,,
2016/11/11,,,8194.87,,,,,
2016/11/12,,,5718.28,,,,,
2016/11/13,,,4639.83,,,,,
2016/11/14,,,3443.93,,,,,
2016/11/15,,,2922.49,,,,,
2016/11/16,,,3140.26,,,,,
2016/11/17,,,3680.18,,,,,
2016/11/18,,,2721.58,,,,,
2016/11/19,,,2539.51,,,,,
2016/11/20,,,2984.24,,,,,
2016/11/21,,,3776.59,,,,,
2016/11/22,,,2270.13,,,,,
2016/11/23,,,1477.57,,,,,
2016/11/24,,,2255.5,,,,,
2016/11/25,,,2441.2,,,,,
2016/11/26,,,4755.27,,,,,
2016/11/27,,,3251.91,,,,,
2016/11/28,,,2678.04,,,,,
2016/11/29,,,2341.29,,,,,
2016/11/30,,,1707.52,,,,,
2016/12/1,,,4107.77,,,,,
2016/12/2,,,3695.89,,,,,
2016/12/3,,,3372.35,,,,,
2016/12/4,,,2297.08,,,,,
2016/12/5,,,1656.71,,,,,
2016/12/6,,,1342.51,,,,,
2016/12/7,,,2574.67,,,,,
2016/12/8,,,3423.59,,,,,
2016/12/9,,,2609.65,,,,,
2016/12/10,,,1345.92,,,,,
2016/12/11,,,1225.49,,,,,
2016/12/12,,,865.27,,,,,
2016/12/13,,,818.77,,,,,
2016/12/14,,,695.8,,,,,
2016/12/15,,,2052.98,,,,,
2016/12/16,,,2756.62,,,,,
2016/12/17,,,2679.03,,,,,
2016/12/18,,,1457.37,,,,,
2016/12/19,,,1547.04,,,,,
2016/12/20,,,1760.46,,,,,
2016/12/21,,,3174.17,,,,,
2016/12/22,,,15617.29,,,,,
2016/12/23,,,14198.41,,,,,
2016/12/24,,,11041.16,,,,,
2016/12/25,,,7254.18,,,,,
2016/12/26,,,6769.65,,,,,
2016/12/27,,,5874.28,,,,,
2016/12/28,,,5053.81,,,,,
2016/12/29,,,5720.28,,,,,
2016/12/30,,,5068.87,,,,,
2016/12/31,,,6223.48,,,,,
2017/1/1,,,6254,,,,,
2017/1/2,,,3955.11,,,,,
2017/1/3,,,2453.12,,,,,
2017/1/4,,,3194.06,,,,,
2017/1/5,,,2607.11,,,,,
2017/1/6,,,1271.06,,,,,
2017/1/7,,,1406.02,,,,,
2017/1/8,,,1313.16,,,,,
2017/1/9,,,1624.89,,,,,
2017/1/10,,,1367.9,,,,,
2017/1/11,,,971.08,,,,,
2017/1/12,,,955.94,,,,,
2017/1/13,,,6626.58,,,,,
2017/1/14,,,5746.48,,,,,
2017/1/15,,,3231.13,,,,,
2017/1/16,,,3294.84,,,,,
2017/1/17,,,3225.24,,,,,
2017/1/18,,,4165.1,,,,,
2017/1/19,,,4711.17,,,,,
2017/1/20,,,4280.19,,,,,
2017/1/21,,,2492.02,,,,,
2017/1/22,,,2698.07,,,,,
2017/1/23,,,2377.26,,,,,
2017/1/24,,,3012.47,,,,,
2017/1/25,,,11532.19,,,,,
2017/1/26,,,15566.52,,,,,
2017/1/27,,,27317.59,,,,,
2017/1/28,,,16176.3,,,,,
2017/1/29,,,11341.72,,,,,
2017/1/30,,,26256.19,,,,,
2017/1/31,,,22789.24,,,,,
2017/2/1,,,17345.33,,,,,
2017/2/2,,,14509.77,,,,,
2017/2/3,,,9556.2,,,,,
2017/2/4,,,6028.03,,,,,
2017/2/5,,,6593.32,,,,,
2017/2/6,,,6900.23,,,,,
2017/2/7,,,6684.31,,,,,
2017/2/8,,,8720.19,,,,,
2017/2/9,,,6388.4,,,,,
2017/2/10,,,5091.63,,,,,
2017/2/11,,,4486.22,,,,,
2017/2/12,,,4494.92,,,,,
2017/2/13,,,3146.51,,,,,
2017/2/14,,,9574.14,,,,,
2017/2/15,,,16512.09,,,,,
2017/2/16,,,12575.07,,,,,
2017/2/17,,,10124.15,,,,,
2017/2/18,,,9014.52,,,,,
2017/2/19,,,8264.96,,,,,
2017/2/20,,,5945.17,,,,,
2017/2/21,,,6645.62,,,,,
2017/2/22,,,8797.82,,,,,
2017/2/23,,,6604.32,,,,,
2017/2/24,,,4641.06,,,,,
2017/2/25,,,2126.59,,,,,
2017/2/26,,,1370.48,,,,,
2017/2/27,,,1709.44,,,,,
2017/2/28,,,2286.4,,,,,
2017/3/1,,,2097.8,,,,,
2017/3/2,,,1689.99,,,,,
2017/3/3,,,2013.91,,,,,
2017/3/4,,,2357.67,,,,,
2017/3/5,,,1825.11,,,,,
2017/3/6,,,1761.19,,,,,
2017/3/7,,,2169.01,,,,,
2017/3/8,,,2743.91,,,,,
2017/3/9,,,5350.22,,,,,
2017/3/10,,,5100.79,,,,,
2017/3/11,,,4412.16,,,,,
2017/3/12,,,10650.78,,,,,
2017/3/13,,,29952.91,,,,,
2017/3/14,,,25268.02,,,,,
2017/3/15,,,9623.49,,,,,
2017/3/16,,,9856.07,,,,,
2017/3/17,,,9903.62,,,,,
2017/3/18,,,7848.31,,,,,
2017/3/19,,,8326.77,,,,,
2017/3/20,,,6856.19,,,,,
2017/3/21,,,9135.6,,,,,
2017/3/22,,,11075.54,,,,,
2017/3/23,,,8687.52,,,,,
2017/3/24,,,5242.49,,,,,
2017/3/25,,,3859.04,,,,,
2017/3/26,,,2977.81,,,,,
2017/3/27,,,3319.2,,,,,
2017/3/28,,,2701.78,,,,,
2017/3/29,,,2197.04,,,,,
2017/3/30,,,3383.69,,,,,
2017/3/31,,,3899.66,,,,,
2017/4/1,,,2224.24,,,,,
2017/4/2,,,2426.34,,,,,
2017/4/3,,,3183.44,,,,,
2017/4/4,,,2267.17,,,,,
2017/4/5,,,2622.03,,,,,
2017/4/6,,,2226.69,,,,,
2017/4/7,,,3903.92,,,,,
2017/4/8,,,9449.18,,,,,
2017/4/9,,,7479.12,,,,,
2017/4/10,,,4316.56,,,,,
2017/4/11,,,3206.23,,,,,
2017/4/12,,,4143.88,,,,,
2017/4/13,,,5988.68,,,,,
2017/4/14,,,19140.26,,,,,
2017/4/15,,,24252.11,,,,,
2017/4/16,,,12419.08,,,,,
2017/4/17,,,8947.16,,,,,
2017/4/18,,,8712.67,,,,,
2017/4/19,,,9369.22,,,,,
2017/4/20,,,9404.36,,,,,
2017/4/21,,,7348.73,,,,,
2017/4/22,,,6727.73,,,,,
2017/4/23,,,4715.59,,,,,
2017/4/24,,,3318.78,,,,,
2017/4/25,,,4325.9,,,,,
2017/4/26,,,4520.05,,,,,
2017/4/27,,,4840.75,,,,,
2017/4/28,,,4687.86,,,,,
2017/4/29,,,3303.41,,,,,
2017/4/30,,,4022.36,,,,,
2017/5/1,,,2680.5,,,,,
2017/5/2,,,3061.01,,,,,
2017/5/3,,,4151.3,,,,,
2017/5/4,,,4648.19,,,,,
2017/5/5,,,10219.78,,,,,
2017/5/6,,,12255.96,,,,,
2017/5/7,,,9359.1,,,,,
2017/5/8,,,8369.44,,,,,
2017/5/9,,,9752.74,,,,,
2017/5/10,,,7534.48,,,,,
2017/5/11,,,6834.79,,,,,
2017/5/12,,,10029.86,,,,,
2017/5/13,,,11230.61,,,,,
2017/5/14,,,9210.44,,,,,
2017/5/15,,,10856.2,,,,,
2017/5/16,,,8737.65,,,,,
2017/5/17,,,13439.2,,,,,
2017/5/18,,,30668.55,,,,,
2017/5/19,,,53378.07,,,,,
2017/5/20,,,65567.52,,,,,
2017/5/21,,,56686.27,,,,,
2017/5/22,,,33998.17,,,,,
2017/5/23,,,23895.93,,,,,
2017/5/24,,,18315.33,,,,,
2017/5/25,,,13575.72,,,,,
2017/5/26,,,17587.17,,,,,
2017/5/27,,,18722.2,,,,,
2017/5/28,,,13733.45,,,,,
2017/5/29,,,12355.48,,,,,
2017/5/30,,,11561.39,,,,,
2017/5/31,,,10406.06,,,,,
2017/6/1,,,27329.25,,,,,
2017/6/2,,,17151.12,,,,,
2017/6/3,,,13328.78,,,,,
2017/6/4,,,10877.01,,,,,
2017/6/5,,,9263.95,,,,,
2017/6/6,,,9110.36,,,,,
2017/6/7,,,6980.36,,,,,
2017/6/8,,,9253.86,,,,,
2017/6/9,,,9474.96,,,,,
2017/6/10,,,8298.2,,,,,
2017/6/11,,,7459.78,,,,,
2017/6/12,,,7440.83,,,,,
2017/6/13,,,7761.74,,,,,
2017/6/14,,,10014.15,,,,,
2017/6/15,,,10255.62,,,,,
2017/6/16,,,6646.15,,,,,
2017/6/17,,,7403.39,,,,,
2017/6/18,,,7224.95,,,,,
2017/6/19,,,5572.27,,,,,
2017/6/20,,,5983.44,,,,,
2017/6/21,,,7945.82,,,,,
2017/6/22,,,17686.39,,,,,
2017/6/23,,,17971.29,,,,,
2017/6/24,,,15661.6,,,,,
2017/6/25,,,13622.81,,,,,
2017/6/26,,,12196.5,,,,,
2017/6/27,,,10954.98,,,,,
2017/6/28,,,9086.6,,,,,
2017/6/29,34262.83,,9204.4,,,,,
2017/6/30,76775.97,,9099.9,,,,,
2017/7/1,143419.75,,10915.03,,,,,
2017/7/2,125843.81,,10883.33,,,,,
2017/7/3,131071.74,,10045.78,,,,,
2017/7/4,131212.62,,9463.1,,,,,
2017/7/5,140395.88,,8255.87,,,,,
2017/7/6,149105.98,,7161.14,,,,,
2017/7/7,135755.21,,8928.02,,,,,
2017/7/8,132739.13,,10491.56,,,,,
2017/7/9,143087.15,,9501.74,,,,,
2017/7/10,116049.67,,10520.41,,,,,
2017/7/11,126902.61,,11018.8,,,,,
2017/7/12,108301.11,,10665.09,,,,,
2017/7/13,150818.5,,11879.04,,,,,
2017/7/14,171466.45,,41905.46,,,,,
2017/7/15,197538.9,,83004.48,,,,,
2017/7/16,175875.32,,43291.99,,,,,
2017/7/17,164676.39,,25504.88,,,,,
2017/7/18,146309.59,,21277.96,,,,,
2017/7/19,147600.56,,19037.84,,,,,
2017/7/20,135585.09,,16789.11,,,,,
2017/7/21,149196.02,,15712.61,,,,,
2017/7/22,159602.6,,13777.08,,,,,
2017/7/23,147551.91,,14714.46,,,,,
2017/7/24,151844.38,,12106.21,,,,,
2017/7/25,154559.56,,13686.34,,,,,
2017/7/26,166641.5,,14927.01,,,,,
2017/7/27,116596.65,,19174.28,,,,,
2017/7/28,141433.71,,20036.41,,,,,
2017/7/29,126448.97,,14717.85,,,,,
2017/7/30,143461.64,,12141.97,,,,,
2017/7/31,205200.78,,10612.38,,,,,
2017/8/1,259783.73,,11453.51,,,,,
2017/8/2,213884.27,,10753.44,,,,,
2017/8/3,177629.58,,8472.12,,,,,
