date,China,Japan,South Korea,United States of America,Germany,France,United Kingdom,Russia,
2016/9/30,1811.11,,,,,,,,
2016/10/1,77413.09,,,,,,,,
2016/10/2,129210.44,,,,,,,,
2016/10/3,187355.41,,,,,,,,
2016/10/4,195126.18,,,,,,,,
2016/10/5,188185.02,,,,,,,,
2016/10/6,198304.85,,,,,,,,
2016/10/7,188904.97,,,,,,,,
2016/10/8,194273.7,,,,,,,,
2016/10/9,273282.06,,,,,,,,
2016/10/10,274945.96,,,,,,,,
2016/10/11,218717.56,,,,,,,,
2016/10/12,203194.59,,,,,,,,
2016/10/13,190996.68,,,,,,,,
2016/10/14,179223.81,,,,,,,,
2016/10/15,158949.11,,,,,,,,
2016/10/16,152760.45,,,,,,,,
2016/10/17,179115.05,,,,,,,,
2016/10/18,182410.67,,,,,,,,
2016/10/19,150934.45,,,,,,,,
2016/10/20,155371.76,,,,,,,,
2016/10/21,125886.39,,,,,,,,
2016/10/22,105657.02,,,,,,,,
2016/10/23,83455.54,,,,,,,,
2016/10/24,136149.69,,,,,,,,
2016/10/25,109522.07,,,,,,,,
2016/10/26,78309.14,,,,,,,,
2016/10/27,62738.04,,,,,,,,
2016/10/28,65951.48,,,,,,,,
2016/10/29,74425.62,,,,,,,,
2016/10/30,66290.18,,,,,,,,
2016/10/31,99526.76,,,,,,,,
2016/11/1,97793.1,,,,,,,,
2016/11/2,104670.41,,,,,,,,
2016/11/3,95809.08,,,,,,,,
2016/11/4,95176.9,,,,,,,,
2016/11/5,106444.37,,,,,,,,
2016/11/6,102691.29,,,,,,,,
2016/11/7,100536.22,,,,,,,,
2016/11/8,98410.12,,,,,,,,
2016/11/9,98394.92,,,,,,,,
2016/11/10,108113.62,,,,,,,,
2016/11/11,184393.04,,,,,,,,
2016/11/12,109974.47,,,,,,,,
2016/11/13,76451.21,,,,,,,,
2016/11/14,66553.01,,,,,,,,
2016/11/15,222954.77,,,,,,,,
2016/11/16,204553.35,,,,,,,,
2016/11/17,123326.62,,,,,,,,
2016/11/18,146659.51,,,,,,,,
2016/11/19,127460.56,,,,,,,,
2016/11/20,87282.06,,,,,,,,
2016/11/21,73870.71,,,,,,,,
2016/11/22,58137.58,,,,,,,,
2016/11/23,60512.22,,,,,,,,
2016/11/24,66677.36,,,,,,,,
2016/11/25,68369.9,,,,,,,,
2016/11/26,64118.16,,,,,,,,
2016/11/27,61061.16,,,,,,,,
2016/11/28,61832.19,,,,,,,,
2016/11/29,50796.1,,,,,,,,
2016/11/30,54959.98,,,,,,,,
2016/12/1,53786.38,,,,,,,,
2016/12/2,121698.03,,,,,,,,
2016/12/3,76758.98,,,,,,,,
2016/12/4,62231.33,,,,,,,,
2016/12/5,57055.78,,,,,,,,
2016/12/6,59155.86,,,,,,,,
2016/12/7,57174.8,,,,,,,,
2016/12/8,56411.12,,,,,,,,
2016/12/9,75382.91,,,,,,,,
2016/12/10,61404.17,,,,,,,,
2016/12/11,53846.66,,,,,,,,
2016/12/12,42325.43,,,,,,,,
2016/12/13,42830.79,,,,,,,,
2016/12/14,37135.75,,,,,,,,
2016/12/15,48112.06,,,6.18,,,,,
2016/12/16,63864.64,,,27.1,,,,,
2016/12/17,64271.88,,,121.91,,,,,
2016/12/18,48990.97,,,248.82,,,,,
2016/12/19,34778.17,,,664.38,,,,,
2016/12/20,41697.63,,,294.93,,,,,
2016/12/21,49551.94,,,173.87,,,,,
2016/12/22,45506.53,,,807.35,,,,,
2016/12/23,159695.91,,,973.85,,,,,
2016/12/24,107685.5,,,500.31,,,,,
2016/12/25,65593.14,,,472.79,,,,,
2016/12/26,53239.15,,,467.82,,,,,
2016/12/27,43206.05,,,406.82,,,,,
2016/12/28,45235.46,,,295.58,,,,,
2016/12/29,63978.92,,,575.81,,,,,
2016/12/30,65716.59,,,855.86,,,,,
2016/12/31,67009.51,,,1692.21,,,,,
2017/1/1,65335.19,,,1593.12,,,,,
2017/1/2,51129.58,,,998.27,,,,,
2017/1/3,44933.05,,,389.55,,,,,
2017/1/4,38157.44,,,90.48,,,,,
2017/1/5,137759.21,,,1369.77,,,,,
2017/1/6,204177.24,,,1752.15,,,,,
2017/1/7,159393.14,,,2681.41,,,,,
2017/1/8,96503.06,,,1867.91,,,,,
2017/1/9,69649.35,,,2282.75,,,,,
2017/1/10,83726.63,,,1736.24,,,,,
2017/1/11,107411.12,,,2999.76,,,,,
