date,China,Japan,United States of America,South Korea,Germany,United Kingdom,France,Russia,
2019/4/29,15.98,,,,,,,,
2019/4/30,385230.4,,,,,,,,
2019/5/1,575667.7,,,,,,,,
2019/5/2,470273.58,,,,,,,,
2019/5/3,634463.83,,,,,,,,
2019/5/4,812825.51,,,,,,,,
2019/5/5,718737.15,,,,,,,,
2019/5/6,897471.94,,,,,,,,
2019/5/7,871538.75,,,,,,,,
2019/5/8,715368.03,,,,,,,,
2019/5/9,784167.2,,,,,,,,
2019/5/10,847205.85,,,,,,,,
2019/5/11,977553.83,,,,,,,,
2019/5/12,700311.36,,,,,,,,
2019/5/13,663928.9,,,,,,,,
2019/5/14,551475.41,,,,,,,,
2019/5/15,808994.89,,,,,,,,
2019/5/16,1388322.48,,,,,,,,
2019/5/17,1204325.52,,,,,,,,
2019/5/18,801910.62,,,,,,,,
2019/5/19,625524.38,,,,,,,,
2019/5/20,526670.38,,,,,,,,
2019/5/21,733905.9,,,,,,,,
2019/5/22,646945.13,,,,,,,,
2019/5/23,1405689.56,,,,,,,,
2019/5/24,1079312.63,,,,,,,,
2019/5/25,953107.41,,,,,,,,
2019/5/26,685260.16,,,,,,,,
2019/5/27,688625.16,,,,,,,,
2019/5/28,739663.5,,,,,,,,
2019/5/29,698016.12,,,,,,,,
2019/5/30,3490618.29,,,,,,,,
2019/5/31,2878454.89,,,,,,,,
2019/6/1,1782074.41,,,,,,,,
2019/6/2,1081072.29,,,,,,,,
2019/6/3,763745.17,,,,,,,,
2019/6/4,524703.64,,,,,,,,
2019/6/5,575550.38,,,,,,,,
2019/6/6,710923.65,,,,,,,,
2019/6/7,865551.37,,,,,,,,
2019/6/8,799605.94,,,,,,,,
2019/6/9,656895.25,,,,,,,,
2019/6/10,694260.52,,,,,,,,
2019/6/11,526633.58,,,,,,,,
2019/6/12,921801.12,,,,,,,,
2019/6/13,1768227.86,,,,,,,,
2019/6/14,1406894.53,,,,,,,,
2019/6/15,921471.37,,,,,,,,
2019/6/16,653631.1,,,,,,,,
2019/6/17,547646.46,,,,,,,,
2019/6/18,473896.42,,,,,,,,
2019/6/19,481967.39,,,,,,,,
2019/6/20,400665.72,,,,,,,,
2019/6/21,316360.85,,,,,,,,
2019/6/22,399134.32,,,,,,,,
2019/6/23,248668.33,,,,,,,,
2019/6/24,200974.06,,,,,,,,
2019/6/25,196579.41,,,,,,,,
2019/6/26,345254.22,,,,,,,,
2019/6/27,699975.4,,,,,,,,
