date,China,Japan,United States of America,South Korea,Germany,France,United Kingdom,Russia
2023/4/23,,,,,,,,
2023/4/24,,,,,,,,
2023/4/25,706024.47,,,,,,,
2023/4/26,10890499.78,1908644.03,1093543.64,460273.99,62770.09,38303.72,35208.01,12250.5
2023/4/27,5651404.72,1645325.08,1449067.99,657709.24,89345.03,50771.69,49542.81,12782.81
2023/4/28,4830128.22,1485470.81,1169480.72,496449.96,125791.01,52561.6,63065.76,16947.83
2023/4/29,4122292.88,1333994.3,1034041.57,458579.8,118120,48919.34,44416.22,12817.2
2023/4/30,3921634.22,1639549.67,853619.57,783957.66,142220.65,55422.76,44837.24,16297.4
2023/5/1,3172261.67,2306345.37,727939.47,645300.7,146590.48,56602.32,43939.66,12431.06
2023/5/2,3471932.27,1150209.83,621704.72,489204.48,136579.59,40509.36,41517.23,8175.27
2023/5/3,3027402.44,1181192.99,696812.48,455562.83,167434.88,40555.44,36803.8,8892.38
2023/5/4,2283289.11,1277843.95,710580.37,461346.98,78491.17,40061.52,37009.75,8580.88
2023/5/5,2347656.17,1308982.2,912923.02,576252.15,89219.42,46870.01,37616.76,12454.85
2023/5/6,2335316.7,1147699.84,796037.11,455632.89,70620.81,44795.78,41971.9,8910.89
2023/5/7,2301919.37,1100569.93,686394.42,417238.49,80443.08,49073.36,32165.62,9400.22
2023/5/8,2401972.77,1156386.41,547586.89,455805.48,65404.5,49657.23,32044.69,4459.91
2023/5/9,2401937.23,964063.87,516012.04,356924.27,65152.06,37843.99,24446.29,6085.71
2023/5/10,2385284.24,1051692.48,513445.85,362786.5,62781.05,28259.71,21122.66,5424.67
2023/5/11,1758709.87,888665.48,555346.39,359610.11,64768,29687.02,21938.09,7251.53
2023/5/12,1577455.49,764436.9,614120.35,393694.4,69326.98,29538.89,25492.7,5497.7
2023/5/13,1515415.08,840223.25,520853.95,504200.89,65357.24,26399.95,24155.57,5513.91
2023/5/14,1432507.05,763010.57,490581.21,515196.24,77971.22,30499.2,21030.51,7687.18
2023/5/15,1363199.89,867214.35,452642.27,318018.59,66835.49,20056.15,19599.47,5642.19
2023/5/16,1459856.86,1165708.17,531554.6,443273.07,71594.18,31240.11,20536.61,6417
2023/5/17,5507541.58,1772339.36,906965.78,683733.07,131842.12,55212.15,41688.01,17807.15
2023/5/18,3975927.54,1881263.4,952827.34,593124.63,104857.16,55333.33,52551.88,18995.63
2023/5/19,2553922.16,1420244.61,906786.61,601351.94,124537.82,48155.13,51176.74,18215.75
2023/5/20,1905387.31,1075092.48,807830.18,428158.7,127590.3,46166.59,39944.33,12129.94
2023/5/21,1847885.94,883439.96,652132.26,485025.67,124994.08,46080.7,33954.22,7819.87
2023/5/22,1827909.76,694211.45,492165.79,330165.53,92943.87,38152.03,28877.97,8343.03
2023/5/23,1630153.52,579119.27,417035.04,259914.5,64450.44,29985.04,23131.49,6315.56
2023/5/24,1398438.93,488174.79,391309.11,216171.38,50643.37,23505.6,19311.42,7071.99
2023/5/25,775324.7,468648.53,324743.84,637426.41,42086.58,22890.25,20195.94,5874.89
2023/5/26,706128.89,453759.9,534549.26,252349.14,52556.84,26791.16,30902.6,6028.73
2023/5/27,624209.44,408305.68,386586.6,245011.09,43629.72,25427.81,22582.12,5106.95
2023/5/28,625963.4,372048.33,318933.71,178792.79,45510.26,19751.5,18162.15,5028.61
2023/5/29,642805.59,311906.4,290960.8,127250.71,32383.9,16002.92,16405.13,4066.89
2023/5/30,678234.22,296492.21,253331.38,90249.12,33654.58,12359.94,15530.92,3631.9
2023/5/31,638623.52,486194.55,322543.33,158643.82,30989.57,13896.61,17011.2,3637.47
2023/6/1,626067.89,870724.22,352032.28,233561.96,29017.07,15580.46,17220.13,4869.5
2023/6/2,576721.06,473008.83,384869.69,149065.91,33718.31,17694.83,16899.56,4478.95
2023/6/3,545091.93,405101.49,317951.8,141444.95,29455.59,15082.63,13263.41,4178.79
2023/6/4,622395.76,400002.94,258333.39,219839.93,33887.29,13078.38,12756.01,3914.51
2023/6/5,685771.5,425842.15,242265.07,153736.14,34353.15,16882.59,14588.69,3516.9
2023/6/6,1287563.61,805012.89,681484.47,383777.54,69942.84,24637.68,16811.46,4659.01
2023/6/7,6111402.31,2374399.91,764854.22,648093.32,102137.31,45021.18,44667.54,18658.98
2023/6/8,5718137.41,1967620.4,679928.07,523451.15,75621.59,31221.06,35510.1,11890.67
2023/6/9,3076757.23,1734018.27,754176.17,515682.84,85852.68,35561.52,30987.09,8244.41
2023/6/10,2114863.94,1477627.85,634002.83,405830.65,79486.91,29811.5,26075.79,5631.9
2023/6/11,1476393.87,1076686.4,525367.48,330377.45,73893.06,28696.11,20187.51,5285.16
2023/6/12,997357.79,886925.42,439886.1,288056.47,64058.33,28599.23,19281.08,4062.34
2023/6/13,841228.32,672062.07,295697.94,196930.09,31692.65,16766.3,12430.24,3067.08
2023/6/14,742949.14,771797.04,261797.75,353888.12,28096.75,10308.38,11100.25,3523.82
2023/6/15,454362.46,466247.38,249776.02,94711.05,18948.44,8557.13,11122.58,3634.5
2023/6/16,366107.73,431039.16,261855.37,97046.03,22623.53,8636.39,11929.86,2664.92
2023/6/17,397246.02,441480.7,225428.19,101612.85,18953.58,7225.71,10985.48,2361.97
2023/6/18,389776.22,372757.13,194089.07,77024.88,17144.59,7559.62,9083.9,3013.7
2023/6/19,361081.61,293370.25,167135.6,61822.45,12445.15,5329.59,7225.32,2360.76
2023/6/20,327522.95,301546.6,168378.47,77874.81,16408.62,6420.92,7473.46,3969.32
2023/6/21,304670.3,338737.13,167559.59,74569.52,11536.41,5648.35,7087.46,2059.91
2023/6/22,260680.94,211006.42,175633.91,65953.1,12099.47,5769.98,6473.38,3229.11
2023/6/23,292998.09,255688.74,206080.41,71287.4,13502.75,6309.81,8101.21,2063.52
2023/6/24,288785.82,249463.92,186258.26,79249.09,12251.21,4938.74,6723.4,1798.81
2023/6/25,314139.02,205410.21,187039.55,61639.43,10630.69,5070,6858.97,1844.85
2023/6/26,325388.89,190002.9,183392.51,57690.27,11057.81,5136.12,7184.43,2937.73
2023/6/27,667472.69,352524.41,299004.76,146460.81,14175.93,7801.36,10073.92,3002.7
2023/6/28,3441452.25,1798935.38,533426.23,303541.3,38550.89,29449.12,31971.99,13086.34
2023/6/29,2474163.07,1449613.11,508902,205262.16,36587.61,29369.76,30361.61,14977.4
2023/6/30,1421241.01,1221125.58,551760.13,334914.71,47079.42,28327.98,34368.14,11684.67
2023/7/1,1242116.29,1753303.45,438242.03,287356.52,35752.57,25493.27,27284.62,6223.55
2023/7/2,887549.67,839252.75,362884.68,205096.16,27105.52,23105.41,20687.47,4439.02
2023/7/3,869914.53,600728.29,291719.52,224230.67,23895.07,22016.57,17827.16,4181.83
2023/7/4,644761.64,520989.2,320539.37,255518.37,22742.21,19108.91,16690.36,3875.43
2023/7/5,438662.7,317191.76,200313.18,85916.04,16469.12,12379.55,10254.01,2828.65
2023/7/6,282148.32,231098.02,177637.3,65791.84,11977.22,8348.19,7863.64,2599.86
2023/7/7,283270.02,244236.99,207667.33,65026.88,13166.73,9330.14,7829.19,3219.91
2023/7/8,273287.03,216234.25,176471.93,58214.64,11944.11,8983.2,7878.18,2843.82
2023/7/9,281774.03,238247.83,179095.84,59889.06,9213.01,8684.79,6993.97,3293.4
2023/7/10,274173.62,212922.41,132230.59,61758.96,10079.44,7262.38,6812.42,3197.51
2023/7/11,243650.02,217719.55,120942.36,54363.72,9294.73,7710,6241.74,2365.16
2023/7/12,258174.37,186080.79,151878.58,62946.7,10135.46,7393.11,6478.9,2324.83
2023/7/13,202122.47,168786.39,167429.3,65778.55,14860.58,7837.8,5674.05,1919.94
2023/7/14,218871.98,179616.7,187176.81,70922.43,15956.59,9640.08,7939.44,2399.17
2023/7/15,217871.05,211720.43,167692.78,67632.43,20043.28,10660.58,7200.45,3032.09
2023/7/16,227704.41,194990.96,162406.07,61770.85,19093.53,9431.51,7306.64,2513.32
2023/7/17,235094.41,229987.22,167072.89,83427.32,18514,10589.29,8216.64,2915.57
2023/7/18,825227.74,372452.36,445490.01,188762.69,32455.93,17820.77,11743.78,4237.99
2023/7/19,6090753.23,998130.91,611056.66,479290.34,78038.44,39269.43,45207.32,27186.95
2023/7/20,3569051.97,1096415.83,477851.52,378490.7,51633.01,33010.03,44102.78,15696.42
2023/7/21,1363932.24,1003093.44,591205,349403.72,49806.01,34202.1,38619.49,12911.1
2023/7/22,1139800.58,920071.38,473002.23,323597.43,44800.92,32050.14,28532.15,8902.66
2023/7/23,857175.8,1270602.12,429395.85,296538.77,40337.01,30939.91,23424.39,5077.39
2023/7/24,738995.42,702195.35,306990.76,189284.3,38897.8,28813.23,22647.91,4742.14
2023/7/25,745140.57,539585.69,280577.17,154221.05,32845.44,23530.81,22949.88,6297.15
2023/7/26,754090.32,449688.16,236169.76,112320.38,27050.22,20389.24,19405.82,5283.78
2023/7/27,574457.49,376786.22,218466.95,77838.36,26290.06,19807.4,17944.21,4610.59
2023/7/28,420531.47,297129.32,243315.64,73736.65,28077.42,22028.19,21261.38,3672.98
2023/7/29,359767.02,260459.21,213013.4,68091.1,21450.94,15539.78,14051.15,3112.64
2023/7/30,379461.74,239242.01,206854.62,56769.99,16873.25,13725.57,11689.84,3114.22
2023/7/31,407646.81,280151.93,195301.04,74870.51,18448.64,13384.11,12625.71,2611.46
2023/8/1,436412.78,544310.1,197297.17,94396.87,16108.8,12858.76,12382.23,5071.29
2023/8/2,418366.08,267156.05,190265.98,73886.27,16613.41,13470.39,11470.67,3907.76
2023/8/3,285173.89,227200.02,198741.26,58274.89,14236.44,14675.82,9326.42,2737.15
2023/8/4,293051.35,231867.22,193173.15,62732.27,18423.12,17325.37,9964.31,3218.72
2023/8/5,339062.09,226618.32,174825.07,53408.33,17908.14,15971.24,9309.68,2882.1
2023/8/6,267479.94,207213.77,157372.45,50918.18,14389.9,12546.62,7770.56,2815.75
2023/8/7,324394.83,179782.92,183383.17,45857.65,17623.72,15277.46,8505.97,3621.48
2023/8/8,941197.05,457727.86,224903.23,191865.61,14160.01,15545.67,9237.61,4390.2
2023/8/9,6579619.49,2233457.12,749180.29,511540.01,49594.08,41003.02,44481.09,16517.2
2023/8/10,3179999.15,2016861.13,707670.85,539585.64,41432.43,36595.34,46462.43,14680.51
2023/8/11,2028194.58,1690847.5,798323.72,524084.21,44200.36,39876.92,38264.12,12248.65
