date,Japan,China,United States of America,South Korea,Germany,United Kingdom,France,Russia
2017/5/24,,,,,,,,
2017/5/25,,82709.03,,,,,,
2017/5/26,,113315.31,,,,,,
2017/5/27,,110168.67,,,,,,
2017/5/28,,96192,,,,,,
2017/5/29,,96386.08,,,,,,
2017/5/30,,88676.26,,,,,,
2017/5/31,,71102.18,,,,,,
2017/6/1,,75018.44,,,,,,
2017/6/2,,107541.64,,,,,,
2017/6/3,,111206.6,,,,,,
2017/6/4,,121020.03,,,,,,
2017/6/5,,114034.63,,,,,,
2017/6/6,,108210.34,,,,,,
2017/6/7,,103828.39,,,,,,
2017/6/8,,373442.23,,,,,,
2017/6/9,,317823.27,,,,,,
2017/6/10,,393904.04,,,,,,
2017/6/11,,255979.01,,,,,,
2017/6/12,,130998.97,,,,,,
2017/6/13,,114751.9,,,,,,
2017/6/14,,133501.82,,,,,,
2017/6/15,,114529.5,,,,,,
2017/6/16,,123877.64,,,,,,
2017/6/17,,102065.58,,,,,,
2017/6/18,,95249.34,,,,,,
2017/6/19,,71785.41,,,,,,
2017/6/20,,72931.44,,,,,,
2017/6/21,,78839.65,,,,,,
2017/6/22,,71654.48,,,,,,
2017/6/23,,64472.67,,,,,,
2017/6/24,,63168.16,,,,,,
2017/6/25,,55853.14,,,,,,
2017/6/26,,49883.6,,,,,,
2017/6/27,,42727.44,,,,,,
2017/6/28,,46592.05,,,,,,
2017/6/29,,43379.98,,,,,,
2017/6/30,,45930.04,,,,,,
2017/7/1,,40399.91,,,,,,
2017/7/2,,34550.42,,,,,,
2017/7/3,,26884.89,,,,,,
2017/7/4,,30168.36,,,,,,
2017/7/5,,49079.2,,,,,,
2017/7/6,,140030.38,,,,,,
2017/7/7,,85397.44,,,,,,
2017/7/8,,63566.59,,,,,,
2017/7/9,,50128.56,,,,,,
2017/7/10,,35755.1,,,,,,
2017/7/11,,35270.41,,,,,,
2017/7/12,,34373.85,,,,,,
2017/7/13,,44123.94,,,,,,
2017/7/14,,104005.23,,,,,,
2017/7/15,,94779.91,,,,,,
2017/7/16,,67060.95,,,,,,
2017/7/17,,45266.46,,,,,,
2017/7/18,9.48,40545.27,,,,,,
