date,Japan,South Korea,United States of America,China,Germany,United Kingdom,France,Russia
2021/1/31,,,,,,,,
2021/2/4,248703.69,,,,,,,
2021/2/5,608320.36,,,,,,,
2021/2/6,905462.11,,,,,,,
2021/2/7,909068.36,,,,,,,
2021/2/8,738923.47,,,,,,,
2021/2/9,733415.29,,,,,,,
2021/2/10,769564.39,,,,,,,
2021/2/11,834318.42,,,,,,,
2021/2/12,993220.27,,,,,,,
2021/2/13,987949.06,,,,,,,
2021/2/14,666282.92,,,,,,,
2021/2/15,605374.01,,,,,,,
2021/2/16,461375.87,,,,,,,
2021/2/17,431260.79,,,,,,,
2021/2/18,416738.92,,,,,,,
2021/2/19,336108.06,,,,,,,
2021/2/20,269994.44,,,,,,,
2021/2/21,225157.41,,,,,,,
2021/2/22,203731.39,,,,,,,
2021/2/23,187606.2,,,,,,,
2021/2/24,157073.99,,,,,,,
2021/2/25,272563.19,,,,,,,
2021/2/26,621989.46,,,,,,,
2021/2/27,432296.21,,,,,,,
2021/2/28,443427.57,,,,,,,
2021/3/1,450933.04,,,,,,,
2021/3/2,276159.46,,,,,,,
2021/3/3,224123.34,,,,,,,
2021/3/4,199495.91,,,,,,,
2021/3/5,218476.64,,,,,,,
2021/3/6,241535.64,,,,,,,
2021/3/7,198325.02,,,,,,,
2021/3/8,183017.83,,,,,,,
2021/3/9,153200.92,,,,,,,
2021/3/10,127378.55,,,,,,,
2021/3/11,177236.21,,,,,,,
2021/3/12,187942.3,,,,,,,
2021/3/13,149567.88,,,,,,,
2021/3/14,129182.36,,,,,,,
2021/3/15,85194.8,,,,,,,
2021/3/16,94350.17,,,,,,,
2021/3/17,90622.85,,,,,,,
2021/3/18,127398.63,,,,,,,
2021/3/19,115325.03,,,,,,,
2021/3/20,101427.14,,,,,,,
2021/3/21,70299.32,,,,,,,
2021/3/22,60287.31,,,,,,,
2021/3/23,53736.88,,,,,,,
2021/3/24,108790.14,,,,,,,
2021/3/25,265514.44,,,,,,,
2021/3/26,300621.18,,,,,,,
2021/3/27,231655.49,,,,,,,
2021/3/28,183936.86,,,,,,,
2021/3/29,121210.32,,,,,,,
2021/3/30,91132.7,,,,,,,
2021/3/31,68107.31,,,,,,,
2021/4/1,74671.41,,,,,,,
2021/4/2,52615.06,,,,,,,
2021/4/3,42234.3,,,,,,,
2021/4/4,37484.32,,,,,,,
2021/4/5,33620.42,,,,,,,
2021/4/6,36832.04,,,,,,,
2021/4/7,39228.9,,,,,,,
2021/4/8,132666.94,,,,,,,
2021/4/9,183309.71,,,,,,,
2021/4/10,167472.92,,,,,,,
2021/4/11,137601.36,,,,,,,
2021/4/12,110572.96,,,,,,,
2021/4/13,121604.78,,,,,,,
2021/4/14,60201.05,,,,,,,
2021/4/15,45562.89,,,,,,,
2021/4/16,44335.09,,,,,,,
2021/4/17,37778.01,,,,,,,
2021/4/18,29712.63,,,,,,,
2021/4/19,31509.31,,,,,,,
2021/4/20,29517.22,,,,,,,
2021/4/21,32798.05,,,,,,,
2021/4/22,55787.98,,,,,,,
2021/4/23,66522.96,,,,,,,
2021/4/24,52867.49,,,,,,,
2021/4/25,38392.13,,,,,,,
2021/4/26,26298.12,,,,,,,
2021/4/27,23658.7,,,,,,,
2021/4/28,68949.5,,,,,,,
2021/4/29,145484.38,,,,,,,
2021/4/30,300383.17,,,,,,,
2021/5/1,300519.5,,,,,,,
2021/5/2,123987.65,,,,,,,
2021/5/3,96915.1,,,,,,,
2021/5/4,82289.77,,,,,,,
2021/5/5,40372.75,,,,,,,
2021/5/6,27012.37,,,,,,,
2021/5/7,28503.55,,,,,,,
2021/5/8,30349.65,,,,,,,
